Vivado Simulator 2019.1
Time resolution is 1 ps
Time	Reset	UpDown	Count (Decimal)
0	1	1	 x
5000	1	1	 0
10000	0	1	 0
15000	0	1	 1
25000	0	1	 2
35000	0	1	 3
45000	0	1	 4
55000	0	1	 5
60000	0	0	 5
65000	0	0	 4
75000	0	0	 3
85000	0	0	 2
95000	0	0	 1
105000	0	0	 0
$finish called at time : 110 ns : File "F:/Kulsum General Drive E/TuDresden/Semester Winter 2022/VLSI/VLSI Lab/100DaysRTL/updown_counter/updown_counter.srcs/sim_1/new/updown_counter_tb.v" Line 50
